sigla;codigo;estado;ano_estudo_1991;ano_estudo_2000
AC;12;Acre;4,09;5,364
AL;27;Alagoas;4,033;5,217
AM;13;Amazonas;3,748;5,29
AP;16;Amapá;4,722;5,808
BA;29;Bahia;3,299;4,213
CE;23;Ceará;3,885;5,243
DF;53;Distrito Federal;17,428;19,789
ES;32;Espírito Santo;5,684;7,524
GO;52;Goiás;5,466;6,907
MA;21;Maranhão;1,726;2,785
MG;31;Minas Gerais;6,145;7,826
MS;50;Mato Grosso do Sul;7,099;9,634
MT;51;Mato Grosso;5,242;7,521
PA;15;Pará;3,688;4,515
PB;25;Paraíba;5,816;6,969
PE;26;Pernambuco;6,25;7,416
PI;22;Piauí;2,589;3,863
PR;41;Paraná;7,329;9,703
RJ;33;Rio de Janeiro;12,076;13,681
RN;24;Rio Grande do Norte;4,873;6,362
RO;11;Rondônia;3,385;4,497
RR;14;Roraima;3,775;6,534
RS;43;Rio Grande do Sul;8,538;10,888
SC;42;Santa Catarina;6,306;8,947
SE;28;Sergipe;4,642;5,624
SP;35;São Paulo;10,779;13,117
TO;17;Tocantins;2,029;4,353
