sigla;estado;total;idade_0_4;idade_5_9;idade_10_14;idade_15_19;idade_20_24;idade_25_29;idade_30_34;idade_35_39;idade_40_44;idade_45_49;idade_50_54;idade_55_59;idade_60_64;idade_65_69;idade_70mais;idade_ignorada
RO;Rondônia;1229306;147492;151355;154907;140674;119545;106765;97750;80250;62742;46264;34992;27868;21256;15058;18683;3705
AC;Acre;483593;64568;64132;64979;59217;46675;38011;31371;26805;21967;16861;12912;10106;7941;6491;10183;1374
AM;Amazonas;2389279;325811;309982;313797;289204;233392;195719;161568;140454;105625;81001;59420;48916;36637;29037;42364;16352
RR;Roraima;247131;34693;31600;31663;28107;23612;20955;18794;15438;12027;8841;6038;4509;3265;2468;3384;1737
PA;Pará;5510849;715966;709164;723918;648611;529864;436960;368791;320154;258938;200739;156525;126531;97412;76077;118364;22835
AP;Amapá;379459;52458;50290;51087;45729;39004;32403;26940;21483;16437;11718;9172;6680;4991;3800;5702;1565
TO;Tocantins;1048642;127516;129997;137709;124582;99066;81640;72267;59517;50492;40198;32716;26898;21697;16035;26729;1583
MA;Maranhão;5222183;638532;701155;733402;629687;456460;367160;319205;279352;235888;194123;155932;139426;111775;84349;151047;24690
PI;Piauí;2673085;292558;330246;358373;325254;237773;191202;178163;150232;129045;108913;88655;76052;62820;50129;88967;4703
CE;Ceará;6809290;797905;812281;825089;742231;597601;521173;490547;389501;330565;290722;229608;203774;162389;138617;259077;18210
RN;Rio Grande do Norte;2558660;274734;291292;305530;279557;232027;205631;193909;155422;122855;110943;86418;75573;58398;51810;108024;6537
PB;Paraíba;3305616;348611;376741;404747;374823;295893;245797;227115;185757;160406;142305;115770;107196;83797;75201;155069;6388
PE;Pernambuco;7399071;756474;817027;873720;831680;704503;583899;534440;450342;382331;328094;264160;233342;180738;157333;276160;24828
AL;Alagoas;2633251;318796;320484;335130;307449;248861;206030;177445;149541;127008;104841;82970;68846;55279;43810;78774;7987
SE;Sergipe;1624020;184365;190612;201723;187606;155375;133871;118175;96398;79695;64596;51602;41040;33719;26956;52655;5632
BA;Bahia;12541675;1320774;1432905;1622990;1511964;1159437;977548;864466;759726;619707;524489;419780;354502;281331;230980;427401;33675
MG;Minas Gerais;16672613;1584600;1699607;1817850;1770684;1502944;1362680;1336122;1194550;1009097;797475;641032;535067;454658;364258;575110;26879
ES;Espírito Santo;2802707;267584;291218;316165;305535;259021;236341;230396;206139;173843;127783;96756;81579;68877;56124;82914;2432
RJ;Rio de Janeiro;13406308;1120281;1137304;1228020;1261978;1173174;1109220;1138225;1057300;941990;762794;602468;497662;432921;359274;539789;43908
SP;São Paulo;34119110;2951711;3151751;3424686;3375106;3185338;2995534;2922728;2641184;2270708;1790158;1389511;1105500;932457;753596;1129398;99744
PR;Paraná;9003804;896897;913089;952550;913361;828841;780426;749364;646247;549283;438111;350957;285841;235938;185770;265586;11543
SC;Santa Catarina;4875244;469019;498029;517339;481273;435215;420390;431279;370839;308911;243469;185010;146987;120247;95626;144024;7587
RS;Rio Grande do Sul;9634688;846884;883542;953002;888593;788810;763076;818555;750783;660851;544182;432030;354929;302559;246400;384569;15923
MS;Mato Grosso do Sul;1927834;203983;208528;217722;203048;179340;163738;159291;135399;112339;86603;68994;54580;44562;33482;51385;4840
MT;Mato Grosso;2235832;246948;253408;262784;248126;221955;199504;185074;154869;123728;92676;71851;55401;42004;29842;40508;7154
GO;Goiás;4514967;453733;463064;491671;490736;454370;411301;379243;317241;262966;203692;162048;128611;103082;76218;109927;7064
DF;Distrito Federal;1821946;180891;177131;195283;213704;199964;180387;160001;128957;109277;83751;61102;45556;31965;21890;29539;2548
